booking_id,property_id,check_in_date,month,week_no,booking_platform,ratings_given,booking_status,revenue_generated
Jun012218561RT217,18561,01-Jun-22,Jun-22,W 23,direct offline,3,Checked Out,10800
Jun012216558RT11,16558,01-Jun-22,Jun-22,W 23,journey,3,Checked Out,10920
Jun012218561RT216,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,10800
Jun012218561RT312,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,14400
Jun012217560RT37,17560,01-Jun-22,Jun-22,W 23,others,3,Checked Out,24480
Jun012217560RT39,17560,01-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,22440
Jun012218561RT223,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,9900
Jun012217564RT36,17564,01-Jun-22,Jun-22,W 23,journey,2,Checked Out,20400
Jun012217564RT34,17564,01-Jun-22,Jun-22,W 23,tripster,2,Checked Out,20400
Jun012217560RT31,17560,01-Jun-22,Jun-22,W 23,direct offline,3,Checked Out,20400
Jun012218561RT29,18561,01-Jun-22,Jun-22,W 23,direct online,5,Checked Out,9000
Jun012217560RT310,17560,01-Jun-22,Jun-22,W 23,journey,5,Checked Out,20400
Jun012219560RT22,19560,01-Jun-22,Jun-22,W 23,tripster,5,Checked Out,13500
Jun012219560RT211,19560,01-Jun-22,Jun-22,W 23,logtrip,5,Checked Out,13500
Jun012218561RT16,18561,01-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,6500
Jun012219560RT13,19560,01-Jun-22,Jun-22,W 23,others,5,Checked Out,9750
Jun012217564RT27,17564,01-Jun-22,Jun-22,W 23,others,5,Checked Out,15300
Jun012217560RT45,17560,01-Jun-22,Jun-22,W 23,others,3,Checked Out,32300
Jun012217560RT111,17560,01-Jun-22,Jun-22,W 23,others,3,Checked Out,11050
Jun012219560RT210,19560,01-Jun-22,Jun-22,W 23,others,3,Checked Out,13500
Jun012217560RT24,17560,01-Jun-22,Jun-22,W 23,others,4,Checked Out,15300
Jun012217560RT27,17560,01-Jun-22,Jun-22,W 23,others,4,Checked Out,15300
Jun012217560RT34,17560,01-Jun-22,Jun-22,W 23,others,2,Checked Out,20400
Jun012217564RT29,17564,01-Jun-22,Jun-22,W 23,others,1,Checked Out,15300
Jun012216558RT21,16558,01-Jun-22,Jun-22,W 23,journey,4,Checked Out,12600
Jun012218561RT211,18561,01-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,9000
Jun012218561RT34,18561,01-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,12000
Jun012217560RT113,17560,01-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,11050
Jun012219560RT49,19560,01-Jun-22,Jun-22,W 23,direct offline,5,Checked Out,28500
Jun012216558RT28,16558,01-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,12600
Jun012218561RT213,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,9000
Jun012218561RT224,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,9000
Jun012218561RT310,18561,01-Jun-22,Jun-22,W 23,others,5,Checked Out,12000
Jun012216558RT29,16558,01-Jun-22,Jun-22,W 23,others,5,Checked Out,12600
Jun012216558RT16,16558,01-Jun-22,Jun-22,W 23,others,3,Checked Out,9100
Jun012219560RT31,19560,01-Jun-22,Jun-22,W 23,others,3,Checked Out,18000
Jun012218561RT42,18561,01-Jun-22,Jun-22,W 23,others,3,Checked Out,19000
Jun022219560RT412,19560,02-Jun-22,Jun-22,W 23,others,5,Checked Out,37050
Jun022217560RT221,17560,02-Jun-22,Jun-22,W 23,logtrip,2,Checked Out,18360
Jun022219560RT225,19560,02-Jun-22,Jun-22,W 23,logtrip,5,Checked Out,16200
Jun022218561RT26,18561,02-Jun-22,Jun-22,W 23,others,5,Checked Out,10800
Jun022217560RT124,17560,02-Jun-22,Jun-22,W 23,others,3,Checked Out,13260
Jun022217560RT27,17560,02-Jun-22,Jun-22,W 23,others,2,Checked Out,18360
Jun022217560RT34,17560,02-Jun-22,Jun-22,W 23,makeyourtrip,1,Checked Out,22440
Jun022218561RT12,18561,02-Jun-22,Jun-22,W 23,tripster,4,Checked Out,7150
Jun022218561RT16,18561,02-Jun-22,Jun-22,W 23,direct offline,3,Checked Out,7150
Jun022216558RT33,16558,02-Jun-22,Jun-22,W 23,others,5,Checked Out,18480
Jun022219560RT39,19560,02-Jun-22,Jun-22,W 23,others,5,Checked Out,19800
Jun022216558RT114,16558,02-Jun-22,Jun-22,W 23,others,3,Checked Out,10010
Jun022218561RT22,18561,02-Jun-22,Jun-22,W 23,makeyourtrip,1,Checked Out,9000
Jun022217564RT214,17564,02-Jun-22,Jun-22,W 23,makeyourtrip,2,Checked Out,15300
Jun022216558RT217,16558,02-Jun-22,Jun-22,W 23,journey,4,Checked Out,12600
Jun022219560RT12,19560,02-Jun-22,Jun-22,W 23,journey,4,Checked Out,9750
Jun022219560RT32,19560,02-Jun-22,Jun-22,W 23,journey,4,Checked Out,18000
Jun022219560RT11,19560,02-Jun-22,Jun-22,W 23,direct online,4,Checked Out,9750
Jun022217560RT41,17560,02-Jun-22,Jun-22,W 23,makeyourtrip,4,Checked Out,32300
Jun022219560RT15,19560,02-Jun-22,Jun-22,W 23,tripster,3,Checked Out,9750
Jun022219560RT111,19560,02-Jun-22,Jun-22,W 23,direct online,3,Checked Out,9750
Jun022219560RT33,19560,02-Jun-22,Jun-22,W 23,direct online,3,Checked Out,18000
Jun022217560RT114,17560,02-Jun-22,Jun-22,W 23,tripster,3,Checked Out,11050
Jun022217560RT314,17560,02-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,20400
Jun022217560RT19,17560,02-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,11050
Jun022217560RT211,17560,02-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,15300
Jun022217564RT215,17564,02-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,15300
Jun022216558RT111,16558,02-Jun-22,Jun-22,W 23,direct offline,5,Checked Out,9100
Jun022219560RT215,19560,02-Jun-22,Jun-22,W 23,direct online,5,Checked Out,13500
Jun022219560RT217,19560,02-Jun-22,Jun-22,W 23,direct online,5,Checked Out,13500
Jun022219560RT112,19560,02-Jun-22,Jun-22,W 23,direct online,5,Checked Out,9750
Jun022219560RT121,19560,02-Jun-22,Jun-22,W 23,logtrip,5,Checked Out,9750
Jun022219560RT36,19560,02-Jun-22,Jun-22,W 23,direct offline,5,Checked Out,18000
Jun022219560RT414,19560,02-Jun-22,Jun-22,W 23,logtrip,5,Checked Out,28500
Jun022219560RT222,19560,02-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,13500
Jun022219560RT27,19560,02-Jun-22,Jun-22,W 23,others,5,Checked Out,13500
Jun022219560RT43,19560,02-Jun-22,Jun-22,W 23,others,5,Checked Out,28500
Jun022217560RT115,17560,02-Jun-22,Jun-22,W 23,others,3,Checked Out,11050
Jun022217560RT213,17560,02-Jun-22,Jun-22,W 23,others,3,Checked Out,15300
Jun022219560RT315,19560,02-Jun-22,Jun-22,W 23,others,4,Checked Out,18000
Jun022218561RT45,18561,02-Jun-22,Jun-22,W 23,others,4,Checked Out,19000
Jun022217560RT218,17560,02-Jun-22,Jun-22,W 23,others,4,Checked Out,15300
Jun022217564RT43,17564,02-Jun-22,Jun-22,W 23,others,4,Checked Out,32300
Jun022217564RT41,17564,02-Jun-22,Jun-22,W 23,others,2,Checked Out,32300
Jun022219560RT221,19560,02-Jun-22,Jun-22,W 23,others,1,Checked Out,13500
Jun022217564RT24,17564,02-Jun-22,Jun-22,W 23,others,1,Checked Out,15300
Jun022219560RT21,19560,02-Jun-22,Jun-22,W 23,makeyourtrip,2,Checked Out,13500
Jun022217564RT21,17564,02-Jun-22,Jun-22,W 23,makeyourtrip,2,Checked Out,15300
Jun022218561RT323,18561,02-Jun-22,Jun-22,W 23,logtrip,4,Checked Out,12000
Jun022218561RT215,18561,02-Jun-22,Jun-22,W 23,direct online,4,Checked Out,9000
Jun022217560RT37,17560,02-Jun-22,Jun-22,W 23,tripster,4,Checked Out,20400
Jun022217560RT43,17560,02-Jun-22,Jun-22,W 23,journey,4,Checked Out,32300
Jun022218561RT132,18561,02-Jun-22,Jun-22,W 23,makeyourtrip,4,Checked Out,6500
Jun022218561RT39,18561,02-Jun-22,Jun-22,W 23,logtrip,5,Checked Out,12000
Jun022218561RT130,18561,02-Jun-22,Jun-22,W 23,tripster,5,Checked Out,6500
Jun022218561RT11,18561,02-Jun-22,Jun-22,W 23,journey,5,Checked Out,6500
Jun022218561RT114,18561,02-Jun-22,Jun-22,W 23,journey,5,Checked Out,6500
Jun022218561RT38,18561,02-Jun-22,Jun-22,W 23,direct offline,5,Checked Out,12000
Jun022218561RT312,18561,02-Jun-22,Jun-22,W 23,direct offline,5,Checked Out,12000
Jun022219560RT312,19560,02-Jun-22,Jun-22,W 23,others,5,Checked Out,18000
Jun022216558RT113,16558,02-Jun-22,Jun-22,W 23,others,4,Checked Out,9100
Jun022218561RT110,18561,02-Jun-22,Jun-22,W 23,others,4,Checked Out,6500
Jun022218561RT118,18561,02-Jun-22,Jun-22,W 23,others,4,Checked Out,6500
Jun022219560RT310,19560,02-Jun-22,Jun-22,W 23,others,4,Checked Out,18000
Jun022218561RT230,18561,02-Jun-22,Jun-22,W 23,others,2,Checked Out,9000
Jun022217560RT17,17560,02-Jun-22,Jun-22,W 23,others,1,Checked Out,11050
Jun032217560RT115,17560,03-Jun-22,Jun-22,W 23,direct offline,2,Checked Out,13260
Jun032218561RT224,18561,03-Jun-22,Jun-22,W 23,direct online,5,Checked Out,10800
Jun032216558RT212,16558,03-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,15120
Jun032217564RT28,17564,03-Jun-22,Jun-22,W 23,others,2,Checked Out,18360
Jun032219560RT43,19560,03-Jun-22,Jun-22,W 23,journey,3,Checked Out,31350
Jun032218561RT120,18561,03-Jun-22,Jun-22,W 23,direct online,5,Checked Out,7150
Jun032219560RT211,19560,03-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,14850
Jun032216558RT110,16558,03-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,10010
Jun032219560RT218,19560,03-Jun-22,Jun-22,W 23,others,5,Checked Out,14850
Jun032218561RT19,18561,03-Jun-22,Jun-22,W 23,others,5,Checked Out,7150
Jun032217560RT26,17560,03-Jun-22,Jun-22,W 23,others,4,Checked Out,16830
Jun032217564RT12,17564,03-Jun-22,Jun-22,W 23,others,4,Checked Out,12155
Jun032219560RT32,19560,03-Jun-22,Jun-22,W 23,makeyourtrip,2,Checked Out,18000
Jun032217564RT211,17564,03-Jun-22,Jun-22,W 23,direct offline,2,Checked Out,15300
Jun032217560RT313,17560,03-Jun-22,Jun-22,W 23,logtrip,4,Checked Out,20400
Jun032219560RT219,19560,03-Jun-22,Jun-22,W 23,direct online,4,Checked Out,13500
Jun032217560RT44,17560,03-Jun-22,Jun-22,W 23,logtrip,3,Checked Out,32300
Jun032218561RT36,18561,03-Jun-22,Jun-22,W 23,logtrip,5,Checked Out,12000
Jun032217560RT38,17560,03-Jun-22,Jun-22,W 23,tripster,5,Checked Out,20400
Jun032219560RT28,19560,03-Jun-22,Jun-22,W 23,logtrip,5,Checked Out,13500
Jun032219560RT117,19560,03-Jun-22,Jun-22,W 23,journey,5,Checked Out,9750
Jun032219560RT48,19560,03-Jun-22,Jun-22,W 23,tripster,5,Checked Out,28500
Jun032219560RT223,19560,03-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,13500
Jun032219560RT121,19560,03-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,9750
Jun032219560RT410,19560,03-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,28500
Jun032219560RT36,19560,03-Jun-22,Jun-22,W 23,others,5,Checked Out,18000
Jun032217564RT21,17564,03-Jun-22,Jun-22,W 23,others,3,Checked Out,15300
Jun032219560RT22,19560,03-Jun-22,Jun-22,W 23,others,4,Checked Out,13500
Jun032219560RT315,19560,03-Jun-22,Jun-22,W 23,others,4,Checked Out,18000
Jun032219560RT411,19560,03-Jun-22,Jun-22,W 23,others,2,Checked Out,28500
Jun032217560RT45,17560,03-Jun-22,Jun-22,W 23,others,2,Checked Out,32300
Jun032217564RT22,17564,03-Jun-22,Jun-22,W 23,others,2,Checked Out,15300
Jun032219560RT213,19560,03-Jun-22,Jun-22,W 23,others,1,Checked Out,13500
Jun032217560RT22,17560,03-Jun-22,Jun-22,W 23,makeyourtrip,2,Checked Out,15300
Jun032218561RT117,18561,03-Jun-22,Jun-22,W 23,tripster,4,Checked Out,6500
Jun032217560RT121,17560,03-Jun-22,Jun-22,W 23,direct online,3,Checked Out,11050
Jun032216558RT116,16558,03-Jun-22,Jun-22,W 23,tripster,3,Checked Out,9100
Jun032218561RT34,18561,03-Jun-22,Jun-22,W 23,journey,3,Checked Out,12000
Jun032217560RT213,17560,03-Jun-22,Jun-22,W 23,logtrip,3,Checked Out,15300
Jun032216558RT28,16558,03-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,12600
Jun032216558RT16,16558,03-Jun-22,Jun-22,W 23,logtrip,5,Checked Out,9100
Jun032216558RT34,16558,03-Jun-22,Jun-22,W 23,logtrip,5,Checked Out,16800
Jun032218561RT210,18561,03-Jun-22,Jun-22,W 23,direct online,5,Checked Out,9000
Jun032218561RT121,18561,03-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,6500
Jun032218561RT314,18561,03-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,12000
Jun032218561RT15,18561,03-Jun-22,Jun-22,W 23,others,5,Checked Out,6500
Jun032218561RT126,18561,03-Jun-22,Jun-22,W 23,others,5,Checked Out,6500
Jun032219560RT15,19560,03-Jun-22,Jun-22,W 23,others,5,Checked Out,9750
Jun032216558RT15,16558,03-Jun-22,Jun-22,W 23,others,5,Checked Out,9100
Jun032217560RT212,17560,03-Jun-22,Jun-22,W 23,others,3,Checked Out,15300
Jun032217560RT222,17560,03-Jun-22,Jun-22,W 23,others,3,Checked Out,15300
Jun032218561RT17,18561,03-Jun-22,Jun-22,W 23,others,4,Checked Out,6500
Jun032217564RT215,17564,03-Jun-22,Jun-22,W 23,others,2,Checked Out,15300
Jun042217564RT35,17564,04-Jun-22,Jun-22,W 23,logtrip,2,Checked Out,26520
Jun042216558RT33,16558,04-Jun-22,Jun-22,W 23,logtrip,3,Checked Out,20160
Jun042217560RT11,17560,04-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,13260
Jun042219560RT113,19560,04-Jun-22,Jun-22,W 23,tripster,4,Checked Out,10725
Jun042218561RT38,18561,04-Jun-22,Jun-22,W 23,makeyourtrip,4,Checked Out,13200
Jun042219560RT33,19560,04-Jun-22,Jun-22,W 23,tripster,5,Checked Out,19800
Jun042219560RT115,19560,04-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,10725
Jun042218561RT39,18561,04-Jun-22,Jun-22,W 23,makeyourtrip,5,Checked Out,13200
Jun042217560RT113,17560,04-Jun-22,Jun-22,W 23,others,3,Checked Out,12155
Jun042218561RT211,18561,04-Jun-22,Jun-22,W 23,others,4,Checked Out,9900
Jun042217560RT315,17560,04-Jun-22,Jun-22,W 23,makeyourtrip,2,Checked Out,20400
Jun042217560RT118,17560,04-Jun-22,Jun-22,W 23,makeyourtrip,2,Checked Out,11050
Jun042217564RT214,17564,04-Jun-22,Jun-22,W 23,makeyourtrip,2,Checked Out,15300
Jun042217564RT26,17564,04-Jun-22,Jun-22,W 23,direct online,2,Checked Out,15300
Jun042217564RT36,17564,04-Jun-22,Jun-22,W 23,logtrip,2,Checked Out,20400
Jun042217564RT31,17564,04-Jun-22,Jun-22,W 23,journey,2,Checked Out,20400
Jun042219560RT225,19560,04-Jun-22,Jun-22,W 23,logtrip,4,Checked Out,13500
Jun042217564RT25,17564,04-Jun-22,Jun-22,W 23,logtrip,4,Checked Out,15300
Jun042217560RT111,17560,04-Jun-22,Jun-22,W 23,logtrip,3,Checked Out,11050
Jun042217560RT119,17560,04-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,11050
Jun042217560RT220,17560,04-Jun-22,Jun-22,W 23,makeyourtrip,3,Checked Out,15300
Jun042219560RT19,19560,04-Jun-22,Jun-22,W 23,direct online,5,Checked Out,9750
Jun042218561RT319,18561,04-Jun-22,Jun-22,W 23,others,5,Checked Out,12000
Jun042219560RT114,19560,04-Jun-22,Jun-22,W 23,others,5,Checked Out,9750
Jun042217564RT47,17564,04-Jun-22,Jun-22,W 23,others,3,Checked Out,32300
Jun042219560RT22,19560,04-Jun-22,Jun-22,W 23,others,4,Checked Out,13500
Jun042217564RT38,17564,04-Jun-22,Jun-22,W 23,others,2,Checked Out,20400
Jun042217564RT34,17564,04-Jun-22,Jun-22,W 23,direct online,2,Checked Out,20400
Jun042217564RT11,17564,04-Jun-22,Jun-22,W 23,makeyourtrip,2,Checked Out,11050
Jun042217564RT27,17564,04-Jun-22,Jun-22,W 23,makeyourtrip,4,Checked Out,15300
Jun042218561RT15,18561,04-Jun-22,Jun-22,W 23,tripster,3,Checked Out,6500
Jun042218561RT43,18561,04-Jun-22,Jun-22,W 23,journey,3,Checked Out,19000
Jun042219560RT228,19560,04-Jun-22,Jun-22,W 23,tripster,3,Checked Out,13500
Jun042218561RT227,18561,04-Jun-22,Jun-22,W 23,journey,5,Checked Out,9000
Jun042218561RT313,18561,04-Jun-22,Jun-22,W 23,journey,5,Checked Out,12000
Jun042219560RT116,19560,04-Jun-22,Jun-22,W 23,direct offline,5,Checked Out,9750
Jun042218561RT214,18561,04-Jun-22,Jun-22,W 23,others,5,Checked Out,9000
Jun042218561RT220,18561,04-Jun-22,Jun-22,W 23,others,5,Checked Out,9000
Jun042218561RT315,18561,04-Jun-22,Jun-22,W 23,others,5,Checked Out,12000
Jun042219560RT18,19560,04-Jun-22,Jun-22,W 23,others,5,Checked Out,9750
Jun042216558RT13,16558,04-Jun-22,Jun-22,W 23,others,5,Checked Out,9100
Jun042216558RT111,16558,04-Jun-22,Jun-22,W 23,others,5,Checked Out,9100
Jun042219560RT48,19560,04-Jun-22,Jun-22,W 23,others,5,Checked Out,28500
Jun042218561RT16,18561,04-Jun-22,Jun-22,W 23,others,3,Checked Out,6500
Jun042217560RT314,17560,04-Jun-22,Jun-22,W 23,others,3,Checked Out,20400
Jun042217560RT26,17560,04-Jun-22,Jun-22,W 23,others,3,Checked Out,15300
Jun042217564RT29,17564,04-Jun-22,Jun-22,W 23,others,2,Checked Out,15300
Jun052219560RT16,19560,05-Jun-22,Jun-22,W 24,journey,5,Checked Out,11700
Jun052218561RT17,18561,05-Jun-22,Jun-22,W 24,direct online,5,Checked Out,7800
Jun052218561RT46,18561,05-Jun-22,Jun-22,W 24,logtrip,5,Checked Out,22800
Jun052216558RT114,16558,05-Jun-22,Jun-22,W 24,others,5,Checked Out,10920
Jun052218561RT29,18561,05-Jun-22,Jun-22,W 24,others,4,Checked Out,10800
Jun052216558RT27,16558,05-Jun-22,Jun-22,W 24,others,5,Checked Out,13860
Jun052218561RT33,18561,05-Jun-22,Jun-22,W 24,others,4,Checked Out,13200
Jun052217560RT14,17560,05-Jun-22,Jun-22,W 24,direct online,1,Checked Out,11050
Jun052219560RT38,19560,05-Jun-22,Jun-22,W 24,tripster,4,Checked Out,18000
Jun052217560RT110,17560,05-Jun-22,Jun-22,W 24,logtrip,4,Checked Out,11050
Jun052217560RT210,17560,05-Jun-22,Jun-22,W 24,direct online,4,Checked Out,15300
Jun052219560RT18,19560,05-Jun-22,Jun-22,W 24,makeyourtrip,4,Checked Out,9750
Jun052219560RT123,19560,05-Jun-22,Jun-22,W 24,makeyourtrip,4,Checked Out,9750
Jun052218561RT34,18561,05-Jun-22,Jun-22,W 24,direct offline,3,Checked Out,12000
Jun052217560RT46,17560,05-Jun-22,Jun-22,W 24,direct offline,3,Checked Out,32300
Jun052217560RT38,17560,05-Jun-22,Jun-22,W 24,logtrip,3,Checked Out,20400
Jun052217560RT17,17560,05-Jun-22,Jun-22,W 24,direct online,3,Checked Out,11050
Jun052217560RT112,17560,05-Jun-22,Jun-22,W 24,journey,3,Checked Out,11050
Jun052219560RT17,19560,05-Jun-22,Jun-22,W 24,makeyourtrip,3,Checked Out,9750
Jun052217564RT33,17564,05-Jun-22,Jun-22,W 24,makeyourtrip,3,Checked Out,20400
Jun052216558RT29,16558,05-Jun-22,Jun-22,W 24,logtrip,5,Checked Out,12600
Jun052219560RT28,19560,05-Jun-22,Jun-22,W 24,logtrip,5,Checked Out,13500
Jun052219560RT229,19560,05-Jun-22,Jun-22,W 24,journey,5,Checked Out,13500
Jun052219560RT122,19560,05-Jun-22,Jun-22,W 24,direct online,5,Checked Out,9750
Jun052219560RT43,19560,05-Jun-22,Jun-22,W 24,tripster,5,Checked Out,28500
Jun052219560RT218,19560,05-Jun-22,Jun-22,W 24,makeyourtrip,5,Checked Out,13500
Jun052219560RT27,19560,05-Jun-22,Jun-22,W 24,others,5,Checked Out,13500
Jun052219560RT214,19560,05-Jun-22,Jun-22,W 24,others,5,Checked Out,13500
Jun052219560RT115,19560,05-Jun-22,Jun-22,W 24,others,5,Checked Out,9750
Jun052219560RT412,19560,05-Jun-22,Jun-22,W 24,others,5,Checked Out,28500
Jun052217564RT23,17564,05-Jun-22,Jun-22,W 24,others,2,Checked Out,15300
Jun052218561RT228,18561,05-Jun-22,Jun-22,W 24,tripster,3,Checked Out,9000
Jun052217560RT120,17560,05-Jun-22,Jun-22,W 24,logtrip,3,Checked Out,11050
Jun052217560RT29,17560,05-Jun-22,Jun-22,W 24,makeyourtrip,3,Checked Out,15300
Jun052217564RT24,17564,05-Jun-22,Jun-22,W 24,makeyourtrip,3,Checked Out,15300
Jun052219560RT11,19560,05-Jun-22,Jun-22,W 24,logtrip,5,Checked Out,9750
Jun052219560RT49,19560,05-Jun-22,Jun-22,W 24,direct online,5,Checked Out,28500
Jun052216558RT213,16558,05-Jun-22,Jun-22,W 24,journey,5,Checked Out,12600
Jun052216558RT215,16558,05-Jun-22,Jun-22,W 24,direct offline,5,Checked Out,12600
Jun052218561RT212,18561,05-Jun-22,Jun-22,W 24,makeyourtrip,5,Checked Out,9000
Jun052219560RT36,19560,05-Jun-22,Jun-22,W 24,makeyourtrip,5,Checked Out,18000
Jun052217560RT118,17560,05-Jun-22,Jun-22,W 24,others,5,Checked Out,11050
Jun052218561RT232,18561,05-Jun-22,Jun-22,W 24,others,5,Checked Out,9000
Jun052218561RT32,18561,05-Jun-22,Jun-22,W 24,others,5,Checked Out,12000
Jun052218561RT38,18561,05-Jun-22,Jun-22,W 24,others,5,Checked Out,12000
Jun052218561RT310,18561,05-Jun-22,Jun-22,W 24,others,5,Checked Out,12000
Jun052216558RT36,16558,05-Jun-22,Jun-22,W 24,others,5,Checked Out,16800
Jun052219560RT210,19560,05-Jun-22,Jun-22,W 24,others,1,Checked Out,13500
Jun062219560RT26,19560,06-Jun-22,Jun-22,W 24,direct online,4,Checked Out,16200
